domain,stratifier,stratum,model,n,prediction_observation_n,mean_residual,mae,rmse,spearman
deepspcas9,activity,Q1,single_cnn,382,1910,0.157480918266,0.166963481411,0.206840803045,0.322952784588
deepspcas9,activity,Q1,cnn_d,382,1910,0.154420687668,0.162872803494,0.199578102481,0.351286670731
deepspcas9,activity,Q1,random_forest,382,1910,0.21042319724,0.211720615737,0.231336674842,0.266035034652
deepspcas9,activity,Q1,xgboost,382,1910,0.147690954876,0.155763871856,0.192610275504,0.348183219281
deepspcas9,activity,Q2,single_cnn,381,1905,0.0745983302584,0.109408560539,0.13450237193,0.235188887418
deepspcas9,activity,Q2,cnn_d,381,1905,0.0646589814121,0.0974229894479,0.123017837594,0.250703844577
deepspcas9,activity,Q2,random_forest,381,1905,0.0688932856962,0.0838320544416,0.101740377432,0.25491723496
deepspcas9,activity,Q2,xgboost,381,1905,0.0574793677895,0.09273114641,0.118302156971,0.245727657562
deepspcas9,activity,Q3,single_cnn,382,1910,-0.0404470814599,0.0924943170171,0.118527921515,0.103924198996
deepspcas9,activity,Q3,cnn_d,382,1910,-0.0535050385269,0.0948285556309,0.11884236516,0.130833951622
deepspcas9,activity,Q3,random_forest,382,1910,-0.0655161625878,0.0802687895915,0.0987862740007,0.171829207924
deepspcas9,activity,Q3,xgboost,382,1910,-0.0434081119532,0.0834238050136,0.105556615704,0.186050033631
deepspcas9,activity,Q4,single_cnn,381,1905,-0.165348253968,0.167620301232,0.198007572728,0.233754553759
deepspcas9,activity,Q4,cnn_d,381,1905,-0.172780241311,0.174144999255,0.202422781663,0.236473378276
deepspcas9,activity,Q4,random_forest,381,1905,-0.209613343713,0.209643956962,0.22627645516,0.235290605208
deepspcas9,activity,Q4,xgboost,381,1905,-0.154044724864,0.159178682911,0.184060725657,0.333017707314
deepspcas9,spacer_gc,high_gt_0.60,single_cnn,324,1620,0.00343404894652,0.143546725554,0.181040908097,0.542218411791
deepspcas9,spacer_gc,high_gt_0.60,cnn_d,324,1620,-0.00623076247738,0.142604644814,0.17835978737,0.560617007577
deepspcas9,spacer_gc,high_gt_0.60,random_forest,324,1620,-0.0072229500673,0.151775289476,0.185502158048,0.541433039613
deepspcas9,spacer_gc,high_gt_0.60,xgboost,324,1620,-0.006273501812,0.140150938381,0.174144316814,0.589540719572
deepspcas9,spacer_gc,low_lt_0.40,single_cnn,148,740,0.0058957911287,0.111134293118,0.149154196819,0.748325479294
deepspcas9,spacer_gc,low_lt_0.40,cnn_d,148,740,0.00286034632214,0.113697263956,0.14980769106,0.742454384257
deepspcas9,spacer_gc,low_lt_0.40,random_forest,148,740,0.025582171982,0.142615245915,0.170120661841,0.675634215232
deepspcas9,spacer_gc,low_lt_0.40,xgboost,148,740,-0.00228632082768,0.10459717212,0.13123647974,0.801226784928
deepspcas9,spacer_gc,mid_0.40_to_0.60,single_cnn,1054,5270,0.00772864874827,0.134443890772,0.16782351893,0.618948903267
deepspcas9,spacer_gc,mid_0.40_to_0.60,cnn_d,1054,5270,-0.000995243133048,0.131763019826,0.164214622733,0.640672868921
deepspcas9,spacer_gc,mid_0.40_to_0.60,random_forest,1054,5270,0.00027914563699,0.145229661285,0.174760218142,0.641031542105
deepspcas9,spacer_gc,mid_0.40_to_0.60,xgboost,1054,5270,0.00513817364399,0.119979176496,0.151817642576,0.710215839054
deepspcas9,full_gc,high_gt_0.60,single_cnn,421,2105,0.0118176928982,0.144737794067,0.183260747064,0.507717801218
deepspcas9,full_gc,high_gt_0.60,cnn_d,421,2105,0.00248185860771,0.142754870017,0.179445515854,0.531271869376
deepspcas9,full_gc,high_gt_0.60,random_forest,421,2105,0.00486048119741,0.148304767369,0.181738616215,0.550080264772
deepspcas9,full_gc,high_gt_0.60,xgboost,421,2105,0.00987363731125,0.135499510239,0.170925177633,0.588991134047
deepspcas9,full_gc,low_lt_0.40,single_cnn,98,490,-0.0018544439456,0.113090016389,0.14902393696,0.737444293556
deepspcas9,full_gc,low_lt_0.40,cnn_d,98,490,-0.00316675822361,0.112965335932,0.14510788768,0.746867369253
deepspcas9,full_gc,low_lt_0.40,random_forest,98,490,0.0196020170209,0.135604412718,0.156989915876,0.690155499876
deepspcas9,full_gc,low_lt_0.40,xgboost,98,490,-0.00418748978769,0.106566461168,0.131539214982,0.768082678245
deepspcas9,full_gc,mid_0.40_to_0.60,single_cnn,1007,5035,0.00530058741103,0.131721392677,0.164596196974,0.652722577854
deepspcas9,full_gc,mid_0.40_to_0.60,cnn_d,1007,5035,-0.00335545403889,0.12983010892,0.162016376909,0.669365109686
deepspcas9,full_gc,mid_0.40_to_0.60,random_forest,1007,5035,-0.00221163368345,0.146602555781,0.176308229902,0.656314576249
deepspcas9,full_gc,mid_0.40_to_0.60,xgboost,1007,5035,-0.000696904029457,0.119025353059,0.150049935169,0.730315628337
deepspcas9,pam,AGG,single_cnn,545,2725,-0.000710822357782,0.133638594965,0.170721080737,0.591538724543
deepspcas9,pam,AGG,cnn_d,545,2725,-0.0119054592616,0.132119694181,0.168358540119,0.611467206743
deepspcas9,pam,AGG,random_forest,545,2725,-0.00621619238028,0.142418567681,0.17314862883,0.622983404973
deepspcas9,pam,AGG,xgboost,545,2725,-0.0035353816242,0.119509024148,0.151147968677,0.705485845375
deepspcas9,pam,CGG,single_cnn,225,1125,0.016671987023,0.145405581126,0.18195833528,0.603475347661
deepspcas9,pam,CGG,cnn_d,225,1125,0.00294340054797,0.143693711993,0.178050065588,0.619194058154
deepspcas9,pam,CGG,random_forest,225,1125,0.00704877164692,0.150383640883,0.185414960349,0.641439528024
deepspcas9,pam,CGG,xgboost,225,1125,0.0136798700602,0.130532153656,0.16692205088,0.675939738727
deepspcas9,pam,GGG,single_cnn,133,665,-0.0124551663613,0.148978526772,0.1829402857,0.467933402026
deepspcas9,pam,GGG,cnn_d,133,665,-0.0197207617472,0.143524043784,0.178118728182,0.517627855256
deepspcas9,pam,GGG,random_forest,133,665,-0.0450115326944,0.155675541917,0.183400936005,0.57667540629
deepspcas9,pam,GGG,xgboost,133,665,-0.0332548819318,0.131719196893,0.159926939864,0.646708358413
deepspcas9,pam,TGG,single_cnn,623,3115,0.0135215777805,0.127283212303,0.159329482215,0.686316440162
deepspcas9,pam,TGG,cnn_d,623,3115,0.00931725431364,0.125978020114,0.156454534951,0.69998246181
deepspcas9,pam,TGG,random_forest,623,3115,0.015294591024,0.14638046151,0.174977352396,0.649885053889
deepspcas9,pam,TGG,xgboost,623,3115,0.0101386139161,0.120909360539,0.152802386717,0.717374301698
deepspcas9,sequence_complexity,high,single_cnn,508,2540,0.00925758788781,0.132542630057,0.164107299229,0.644672867374
deepspcas9,sequence_complexity,high,cnn_d,508,2540,5.469662407e-06,0.130828972963,0.161972209077,0.659000846433
deepspcas9,sequence_complexity,high,random_forest,508,2540,0.00140116883212,0.148787407532,0.178950428856,0.644752210754
deepspcas9,sequence_complexity,high,xgboost,508,2540,-0.00184906439122,0.119149236182,0.151256550545,0.722970411821
deepspcas9,sequence_complexity,low,single_cnn,509,2545,0.0113852111848,0.132915559274,0.1701441714,0.653857703532
deepspcas9,sequence_complexity,low,cnn_d,509,2545,0.00244528715083,0.132175714939,0.16839276787,0.66878684831
deepspcas9,sequence_complexity,low,random_forest,509,2545,0.00987426024361,0.145191155622,0.176002745247,0.664784358618
deepspcas9,sequence_complexity,low,xgboost,509,2545,0.0102232863042,0.127366866355,0.161246055884,0.702395418821
deepspcas9,sequence_complexity,middle,single_cnn,509,2545,-0.00072047625481,0.136886443212,0.1727166538,0.590892895004
deepspcas9,sequence_complexity,middle,cnn_d,509,2545,-0.00764607425835,0.13393077743,0.167579548663,0.616945558911
deepspcas9,sequence_complexity,middle,random_forest,509,2545,-0.0078539235713,0.145123795565,0.174996856533,0.623707002532
deepspcas9,sequence_complexity,middle,xgboost,509,2545,-0.00239623392324,0.121787407821,0.152332753523,0.703889598164
crispron_xiang_luo,activity,Q1,single_cnn,390,1950,13.8962324173,14.7173904773,18.1198563303,0.268279131962
crispron_xiang_luo,activity,Q1,cnn_d,390,1950,13.3767131503,14.2562076227,17.6135356372,0.27851631048
crispron_xiang_luo,activity,Q1,random_forest,390,1950,17.5016543736,17.5502007716,19.6126499333,0.278707198297
crispron_xiang_luo,activity,Q1,xgboost,390,1950,12.0362470205,12.8655936939,16.5614713487,0.334813206176
crispron_xiang_luo,activity,Q2,single_cnn,390,1950,6.35353170464,10.3587998367,13.5842359943,0.218708017602
crispron_xiang_luo,activity,Q2,cnn_d,390,1950,6.1978167844,9.98402182883,13.1112602588,0.20497667764
crispron_xiang_luo,activity,Q2,random_forest,390,1950,7.26018986886,9.20295490519,11.4742497329,0.223315300207
crispron_xiang_luo,activity,Q2,xgboost,390,1950,5.62564199493,9.16672174548,11.979737514,0.236864855734
crispron_xiang_luo,activity,Q3,single_cnn,390,1950,-5.08270278569,11.7826491221,14.2108233071,0.146803635486
crispron_xiang_luo,activity,Q3,cnn_d,390,1950,-5.46824337426,11.4029211936,13.8057785732,0.130155976345
crispron_xiang_luo,activity,Q3,random_forest,390,1950,-6.48277925839,9.18413461189,11.1039631288,0.185613337872
crispron_xiang_luo,activity,Q3,xgboost,390,1950,-4.51606379025,9.16492153288,11.3366010025,0.257506876847
