feature_index,feature,feature_class
0,gc_content,gc_regional_and_skew
1,gc_5prime_context,gc_regional_and_skew
2,gc_guide,gc_regional_and_skew
3,gc_pam,gc_regional_and_skew
4,gc_3prime_context,gc_regional_and_skew
5,gc_full,gc_regional_and_skew
6,gc_guide_skew,gc_regional_and_skew
7,gc_skew,gc_regional_and_skew
8,at_skew,gc_regional_and_skew
9,is_optimal_gc,gc_regional_and_skew
10,freq_A,global_nucleotide_composition
11,freq_C,global_nucleotide_composition
12,freq_G,global_nucleotide_composition
13,freq_T,global_nucleotide_composition
14,purine_content,global_nucleotide_composition
15,pyrimidine_content,global_nucleotide_composition
16,dinuc_AA,global_dinucleotide_frequency
17,dinuc_AC,global_dinucleotide_frequency
18,dinuc_AG,global_dinucleotide_frequency
19,dinuc_AT,global_dinucleotide_frequency
20,dinuc_CA,global_dinucleotide_frequency
21,dinuc_CC,global_dinucleotide_frequency
22,dinuc_CG,global_dinucleotide_frequency
23,dinuc_CT,global_dinucleotide_frequency
24,dinuc_GA,global_dinucleotide_frequency
25,dinuc_GC,global_dinucleotide_frequency
26,dinuc_GG,global_dinucleotide_frequency
27,dinuc_GT,global_dinucleotide_frequency
28,dinuc_TA,global_dinucleotide_frequency
29,dinuc_TC,global_dinucleotide_frequency
30,dinuc_TG,global_dinucleotide_frequency
31,dinuc_TT,global_dinucleotide_frequency
32,heterogeneity,global_nucleotide_composition
33,k2_AA,global_kmer_frequency
34,k2_AC,global_kmer_frequency
35,k2_AG,global_kmer_frequency
36,k2_AT,global_kmer_frequency
37,k2_CA,global_kmer_frequency
38,k2_CC,global_kmer_frequency
39,k2_CG,global_kmer_frequency
40,k2_CT,global_kmer_frequency
41,k2_GA,global_kmer_frequency
42,k2_GC,global_kmer_frequency
43,k2_GG,global_kmer_frequency
44,k2_GT,global_kmer_frequency
45,k2_TA,global_kmer_frequency
46,k2_TC,global_kmer_frequency
47,k2_TG,global_kmer_frequency
48,k2_TT,global_kmer_frequency
49,k2_entropy,global_kmer_entropy_complexity
50,k2_complexity,global_kmer_entropy_complexity
51,k3_AAA,global_kmer_frequency
52,k3_AAC,global_kmer_frequency
53,k3_AAG,global_kmer_frequency
54,k3_AAT,global_kmer_frequency
55,k3_ACA,global_kmer_frequency
56,k3_ACC,global_kmer_frequency
57,k3_ACG,global_kmer_frequency
58,k3_ACT,global_kmer_frequency
59,k3_AGA,global_kmer_frequency
60,k3_AGC,global_kmer_frequency
61,k3_AGG,global_kmer_frequency
62,k3_AGT,global_kmer_frequency
63,k3_ATA,global_kmer_frequency
64,k3_ATC,global_kmer_frequency
65,k3_ATG,global_kmer_frequency
66,k3_ATT,global_kmer_frequency
67,k3_CAA,global_kmer_frequency
68,k3_CAC,global_kmer_frequency
69,k3_CAG,global_kmer_frequency
70,k3_CAT,global_kmer_frequency
71,k3_CCA,global_kmer_frequency
72,k3_CCC,global_kmer_frequency
73,k3_CCG,global_kmer_frequency
74,k3_CCT,global_kmer_frequency
75,k3_CGA,global_kmer_frequency
76,k3_CGC,global_kmer_frequency
77,k3_CGG,global_kmer_frequency
78,k3_CGT,global_kmer_frequency
79,k3_CTA,global_kmer_frequency
80,k3_CTC,global_kmer_frequency
81,k3_CTG,global_kmer_frequency
82,k3_CTT,global_kmer_frequency
83,k3_GAA,global_kmer_frequency
84,k3_GAC,global_kmer_frequency
85,k3_GAG,global_kmer_frequency
86,k3_GAT,global_kmer_frequency
87,k3_GCA,global_kmer_frequency
88,k3_GCC,global_kmer_frequency
89,k3_GCG,global_kmer_frequency
90,k3_GCT,global_kmer_frequency
91,k3_GGA,global_kmer_frequency
92,k3_GGC,global_kmer_frequency
93,k3_GGG,global_kmer_frequency
94,k3_GGT,global_kmer_frequency
95,k3_GTA,global_kmer_frequency
96,k3_GTC,global_kmer_frequency
97,k3_GTG,global_kmer_frequency
98,k3_GTT,global_kmer_frequency
99,k3_TAA,global_kmer_frequency
100,k3_TAC,global_kmer_frequency
101,k3_TAG,global_kmer_frequency
102,k3_TAT,global_kmer_frequency
103,k3_TCA,global_kmer_frequency
104,k3_TCC,global_kmer_frequency
105,k3_TCG,global_kmer_frequency
106,k3_TCT,global_kmer_frequency
107,k3_TGA,global_kmer_frequency
108,k3_TGC,global_kmer_frequency
109,k3_TGG,global_kmer_frequency
110,k3_TGT,global_kmer_frequency
111,k3_TTA,global_kmer_frequency
112,k3_TTC,global_kmer_frequency
113,k3_TTG,global_kmer_frequency
114,k3_TTT,global_kmer_frequency
115,k3_entropy,global_kmer_entropy_complexity
116,k3_complexity,global_kmer_entropy_complexity
117,guide_pos_0_A,spacer_position_one_hot
118,guide_pos_0_C,spacer_position_one_hot
119,guide_pos_0_G,spacer_position_one_hot
120,guide_pos_0_T,spacer_position_one_hot
121,guide_pos_1_A,spacer_position_one_hot
122,guide_pos_1_C,spacer_position_one_hot
123,guide_pos_1_G,spacer_position_one_hot
124,guide_pos_1_T,spacer_position_one_hot
125,guide_pos_2_A,spacer_position_one_hot
126,guide_pos_2_C,spacer_position_one_hot
127,guide_pos_2_G,spacer_position_one_hot
128,guide_pos_2_T,spacer_position_one_hot
129,guide_pos_3_A,spacer_position_one_hot
130,guide_pos_3_C,spacer_position_one_hot
131,guide_pos_3_G,spacer_position_one_hot
132,guide_pos_3_T,spacer_position_one_hot
133,guide_pos_4_A,spacer_position_one_hot
134,guide_pos_4_C,spacer_position_one_hot
135,guide_pos_4_G,spacer_position_one_hot
136,guide_pos_4_T,spacer_position_one_hot
137,guide_pos_5_A,spacer_position_one_hot
138,guide_pos_5_C,spacer_position_one_hot
139,guide_pos_5_G,spacer_position_one_hot
140,guide_pos_5_T,spacer_position_one_hot
141,guide_pos_6_A,spacer_position_one_hot
142,guide_pos_6_C,spacer_position_one_hot
143,guide_pos_6_G,spacer_position_one_hot
144,guide_pos_6_T,spacer_position_one_hot
145,guide_pos_7_A,spacer_position_one_hot
146,guide_pos_7_C,spacer_position_one_hot
147,guide_pos_7_G,spacer_position_one_hot
148,guide_pos_7_T,spacer_position_one_hot
149,guide_pos_8_A,spacer_position_one_hot
